user_id,cate,shop_id
122,21,9535
24170,21,8350
25388,21,8992
52482,21,2820
91731,21,2200
115394,21,7613
163614,21,8697
189068,21,3812
189068,21,2940
189068,21,8791
218301,21,8992
249909,21,9812
286820,21,5345
286820,21,671
325391,21,9668
375269,21,677
375269,21,2820
375269,21,6399
375269,21,2020
507780,21,6554
590955,21,9812
677924,21,4646
735076,21,2163
755408,21,6399
809820,21,4646
816951,21,2200
831947,21,2200
834728,21,92
835058,21,671
842900,21,1525
845992,21,671
852246,21,1525
855533,21,8350
855533,21,8791
911759,21,2820
911759,21,9535
915234,21,6399
939019,21,2200
942401,21,5345
942401,21,671
981811,21,2020
993520,21,8791
1050756,21,2820
1050756,21,9535
1067413,21,2163
1070966,21,9812
1111211,21,8697
1146458,21,9668
1157409,21,8350
1163941,21,671
1189813,21,7613
1189813,21,9535
1232083,21,6399
1251502,21,4646
1293612,21,2200
1314721,21,9812
1337587,21,8301
1346030,21,6524
1403799,21,3812
1403799,21,6524
1438509,21,2820
1511559,21,8301
1511559,21,2940
1514468,21,6678
1556931,21,2940
1556931,21,8791
1594431,21,3812
1604493,21,6399
69477,21,9812
1430021,21,2940
356043,21,9812
43316,21,671
30922,21,6678
30922,21,9668
884076,21,6399
1481512,21,2883
1292954,21,3812
919620,21,4406
785269,21,7613
785269,21,9668
1066414,21,9812
1066414,21,5345
777575,21,5345
484853,21,671
1580184,21,8707
1156462,21,5345
1156462,21,671
1562286,21,5345
1562286,21,671
1379837,21,6524
799254,21,671
1201577,21,7976
1264197,21,671
1076927,21,1525
741504,21,5345
741504,21,671
1190462,21,5345
1190462,21,671
1005904,21,9535
1102331,21,6399
980824,21,1525
497714,21,8697
1102931,21,2200
719298,21,671
636418,21,2200
1176632,21,3812
1370173,21,6678
1370173,21,9668
1034504,21,8992
137805,21,8901
650681,21,6399
938522,21,6554
938522,21,1858
1257215,21,5345
1257215,21,671
332869,21,4646
957318,21,2940
766107,21,6399
62496,21,2200
1435311,21,6678
691593,21,4406
1573570,21,8350
832289,21,2820
1502911,21,4646
1398054,21,6524
1398054,21,4646
816818,21,9812
1043035,21,1525
801932,21,8339
801932,21,8992
163192,21,2200
739279,21,1525
1507403,21,9812
869028,21,5345
869028,21,671
253082,21,9668
136193,21,4406
540559,21,9812
1553886,21,9668
29670,21,5345
29670,21,671
946018,21,6399
987103,21,2967
1107140,21,2200
26888,21,671
87289,21,9535
12533,21,3812
12533,21,9535
12533,21,2940
766380,21,8791
170935,21,92
170935,21,6399
636696,21,8791
613583,21,9535
515096,21,8992
370349,21,3812
370349,21,9875
59665,21,671
896439,21,6399
717029,21,5959
314571,21,6399
1356311,21,1525
967907,21,8791
1190716,21,7613
1574168,21,2940
1089409,21,1525
634611,21,9812
721200,21,6399
1463937,21,1525
1264629,21,5345
1336590,21,8301
230554,21,1525
1103444,21,9535
542164,21,6678
542164,21,9668
642168,21,671
95394,21,6524
95394,21,2820
95394,21,9535
989041,21,2200
307224,21,1525
899587,21,6554
899587,21,2200
1264317,21,5345
463663,21,5345
463663,21,671
366906,21,5345
366906,21,671
1123359,21,1525
647295,21,2820
91104,21,7613
372021,21,2820
684849,21,5345
684849,21,671
232634,21,2967
963697,21,2200
96628,21,1525
921043,21,4646
1279232,21,1525
127601,21,5345
127601,21,671
80563,21,5345
80563,21,671
1291923,21,9812
179558,21,9535
183920,21,6524
1347768,21,6554
1474921,21,6524
1101818,21,9812
1420268,21,671
17470,21,2883
614332,21,2940
1304779,21,671
115154,21,671
1101788,21,2883
729940,21,9875
146238,21,6524
146238,21,2200
146238,21,4646
1035493,21,6524
583321,21,6554
1110255,21,6524
1512419,21,9812
1140398,21,6524
1140398,21,1525
166365,21,2820
1311215,21,2200
193708,21,8992
1148749,21,9535
594135,21,3812
594135,21,2940
594135,21,8791
30475,21,6399
1451392,21,671
1491332,21,2200
632958,21,671
1474805,21,4646
443960,21,6524
585910,21,2200
143625,21,2967
143625,21,5959
1083941,21,9668
1293288,21,2820
666596,21,671
1406685,21,2883
303750,21,9535
443006,21,3812
906667,21,1525
6176,24,2149
7030,24,9165
10237,24,2271
10237,24,6440
10237,24,6524
10237,24,1073
10237,24,6463
10237,24,9165
10633,24,284
12216,24,6440
12953,24,9165
19489,24,5129
21361,24,6463
21361,24,9165
26331,24,1073
31552,24,9549
31552,24,7311
33554,24,9730
41915,24,9730
48274,24,421
48274,24,5124
50078,24,2271
50078,24,7311
51198,24,4796
54250,24,2149
54342,24,2363
62391,24,10150
72143,24,2149
80383,24,2149
81761,24,10101
87757,24,6440
87757,24,9549
87757,24,9165
90959,24,9165
90959,24,10101
98207,24,9549
102220,24,1908
106361,24,2177
107563,24,2149
122776,24,2177
129251,24,2269
133323,24,9165
150854,24,1908
157528,24,6440
158264,24,7516
160971,24,421
160971,24,1450
169457,24,1073
169902,24,4796
169902,24,7311
169902,24,8186
169902,24,6463
171363,24,10101
174448,24,9730
177218,24,9165
177762,24,4465
178694,24,2149
179948,24,6524
180547,24,1908
185407,24,616
189513,24,2271
190393,24,6440
190393,24,7180
190393,24,7311
190393,24,8186
192634,24,10058
192634,24,1744
192634,24,421
192634,24,9730
198368,24,9165
198946,24,8937
201092,24,10101
202997,24,2177
209744,24,8937
209791,24,7311
210738,24,6440
210738,24,10101
212794,24,421
212794,24,2271
212794,24,6440
216094,24,10058
219500,24,6524
222292,24,10150
228522,24,1744
230407,24,9549
230407,24,7180
235149,24,10058
238137,24,7311
241495,24,10101
245164,24,4796
247287,24,2149
249472,24,6524
252729,24,5129
254642,24,6463
254642,24,9165
254839,24,6744
255449,24,8937
259727,24,284
260708,24,616
266939,24,6440
267149,24,6440
269158,24,4465
276238,24,1908
277430,24,5545
281132,24,616
281906,24,2149
289655,24,8937
296826,24,284
297247,24,2269
309273,24,10150
310617,24,9165
312316,24,9003
316924,24,8937
318501,24,10101
318634,24,9003
318634,24,6744
323877,24,1908
330604,24,5129
335797,24,10101
337659,24,4465
343597,24,7180
343597,24,10101
353756,24,1258
354949,24,2363
354949,24,5124
366481,24,6463
368604,24,284
372497,24,9549
378255,24,9165
380252,24,7311
381751,24,4465
382016,24,284
387765,24,2149
388924,24,6440
388924,24,9549
388924,24,6463
388924,24,9165
390555,24,1069
392454,24,2149
392454,24,284
392695,24,1073
396952,24,10058
396952,24,1744
396952,24,421
404037,24,9439
405065,24,9165
405443,24,4465
405443,24,10150
423524,24,2820
423844,24,2149
427252,24,8937
428542,24,1073
430019,24,9165
434506,24,6744
445995,24,6463
446505,24,5545
458172,24,9549
458172,24,7311
458172,24,10101
458836,24,616
458836,24,8502
461118,24,8937
463116,24,6524
463116,24,7180
463548,24,7180
466382,24,4465
467047,24,6744
467047,24,616
471394,24,8502
473989,24,2271
473989,24,6440
473989,24,7180
473989,24,6463
478545,24,7180
485672,24,2820
490450,24,2149
497194,24,5129
497968,24,1908
497968,24,4465
498426,24,10058
498426,24,6440
506775,24,9439
508516,24,6744
511629,24,8186
511629,24,9165
515768,24,7311
516731,24,2363
516758,24,2271
516758,24,6463
522081,24,2177
525232,24,7311
526042,24,10150
527476,24,616
527935,24,4796
532465,24,7180
532768,24,9549
532768,24,7180
537482,24,2271
539835,24,8186
541797,24,1258
541797,24,9439
541797,24,4465
544156,24,5545
